epochs,loss,forward_loss,seed accuracy,seed precision,seed recall,accuracy,precision,recall,accuracy_rec,precision_rec,recall_rec,time
95,-84.82903957366943,2.3015768826007843,0.668212478920742,0.1604623734936128,0.5516949152542372,0.6883642495784148,0.47981026153381456,0.8031344371550557,0.9837406015037593,0.4033333333333333,0.423721340388007,42.83790250000038
96,-84.97761249542236,2.271387130022049,0.6662731871838111,0.15618147868672388,0.5347457627118644,0.6921585160202361,0.48366531007404484,0.808228202971685,0.9846334586466166,0.43532008830022073,0.4548846675712347,43.10460469999998
97,-85.12882709503174,2.232406437397003,0.6691399662731872,0.158711575170491,0.5406779661016949,0.7025295109612142,0.49420401003381326,0.8216514041514041,0.9833176691729324,0.38948675496688745,0.41073851521612714,43.33905440000035
98,-85.17552375793457,2.292262464761734,0.6682967959527825,0.15677857432545267,0.5330508474576271,0.6893760539629006,0.4807101607973557,0.7984654637566769,0.9835526315789473,0.39806518633943644,0.42018326501085124,42.43112360000032
99,-85.30484199523926,2.2638826817274094,0.6682967959527825,0.15540540540540543,0.5262711864406779,0.6950252951096121,0.4865098392531737,0.807438115837539,0.9832236842105263,0.38788200339558576,0.41304557511454065,42.836182400000325
100,-85.4585075378418,2.205463796854019,0.6686340640809443,0.15590602977764462,0.5279661016949153,0.7039629005059023,0.49573313022071996,0.8221248968671648,0.9842105263157894,0.42105263157894735,0.4457516339869281,43.05352949999997
101,-85.49215316772461,2.2619646787643433,0.6691399662731872,0.15510222136841148,0.5228813559322034,0.6965430016863406,0.4880493474172995,0.8072546218529615,0.9832236842105263,0.3844519015659955,0.39820096533567356,42.91548370000055
102,-85.66224098205566,2.177022248506546,0.6737774030354131,0.16244120126916506,0.5483050847457627,0.7103709949409781,0.5023827961712849,0.829664020725883,0.9841165413533834,0.41553668447244674,0.42712804436942364,43.36511059999975
103,-85.76132774353027,2.1580880135297775,0.6720910623946037,0.15924522980864553,0.5364406779661017,0.7124789207419899,0.5045271184542611,0.8335444120139851,0.9838345864661654,0.40604026845637586,0.4204730229120473,43.94314959999974
104,-85.76498508453369,2.2300568968057632,0.6690556492411468,0.15454330286844348,0.5203389830508475,0.7021079258010119,0.49378798596792584,0.8156771329359771,0.9836466165413533,0.3993288590604027,0.4140701071080818,44.77178139999978
105,-85.92174053192139,2.144315615296364,0.6756323777403035,0.16231447414590905,0.5432203389830508,0.7140809443507589,0.5061151437727991,0.8320027947038071,0.9843984962406015,0.4261744966442953,0.4410144927536232,43.20020260000001
106,-85.89142322540283,2.2414925694465637,0.6736930860033726,0.1570604235578023,0.5220338983050847,0.6958684654300169,0.48711064974734364,0.798382340263938,0.9840225563909775,0.41174564975934835,0.42008513931888547,43.27325660000042
107,-86.07744216918945,2.118022069334984,0.6750421585160202,0.15858018386108275,0.5262711864406779,0.721079258010118,0.5135847343821506,0.838644441103914,0.9833176691729323,0.38570496691827416,0.3946370399183157,41.93569259999913
108,-86.15665435791016,2.0976803451776505,0.678752107925801,0.16505387505968816,0.5491525423728814,0.7230185497470489,0.5156281711363281,0.8431373432454757,0.9840695488721805,0.4132573319849223,0.4239315408178149,42.73375589999978
109,-86.10862731933594,2.20065675675869,0.6766441821247892,0.16074551331988465,0.5330508474576271,0.7035413153456997,0.4952279957582184,0.8094084769445737,0.9838815789473684,0.4080089485458613,0.42436386461300757,44.19140430000061
110,-86.23161792755127,2.1293122321367264,0.6792580101180439,0.16255690460137406,0.535593220338983,0.7155986509274874,0.5079325278171651,0.8265496422361642,0.9841635338345864,0.41803131991051456,0.4355633973026538,43.52664789999926
111,-86.26046180725098,2.1484799683094025,0.6790050590219224,0.15997782716986553,0.5237288135593221,0.711973018549747,0.5040788953851856,0.8161576548688073,0.9841635338345864,0.4180536912751678,0.4340277777777778,43.34733520000009
112,-86.36474609375,2.0891637355089188,0.6879426644182125,0.17081519010825913,0.5542372881355933,0.7211635750421586,0.5138879277954875,0.8293237901933554,0.9843984962406015,0.42666666666666664,0.444880174291939,43.75877899999978
113,-86.34558200836182,2.1502793580293655,0.6877740303541315,0.16671008355027817,0.5347457627118644,0.7113827993254638,0.5034642107825946,0.8044692008923556,0.9844454887218045,0.4290911467410248,0.4520123839009288,42.30797210000037
114,-86.40915393829346,2.1256444603204727,0.68929173693086,0.16926293223910022,0.5432203389830509,0.7166947723440135,0.5092491838955386,0.8123422712933754,0.9844924812030075,0.43137254901960786,0.4589732338745064,42.32747860000018
115,-86.39805316925049,2.172923982143402,0.6868465430016863,0.16622196313568732,0.5347457627118644,0.705733558178752,0.4974785176337879,0.792767451891319,0.9842575187969924,0.42330871742636444,0.45018414421399494,43.43515269999989
116,-86.53298377990723,2.0716379582881927,0.6919898819561552,0.17451886034200825,0.561864406779661,0.7220910623946037,0.5150144717800289,0.8223626945772033,0.9843984962406015,0.4285714285714286,0.4574303405572755,43.198748499999965
117,-86.58571720123291,2.050148919224739,0.6881956155143338,0.16710767699139792,0.535593220338983,0.7278246205733558,0.521270617707166,0.8290416039286755,0.9841635338345864,0.420337832102538,0.4497914110429448,42.879975799999556
118,-86.54476165771484,2.120181769132614,0.6917369308600337,0.17249046009083174,0.5525423728813559,0.7162731871838112,0.5088156909562318,0.8067539941706698,0.9843515037593985,0.42577988846287906,0.44786592717627205,42.92104769999969
119,-86.62474155426025,2.067122161388397,0.6881956155143338,0.16902431034983187,0.5449152542372881,0.7241146711635751,0.5172892567130369,0.8225676152446015,0.9837875939849624,0.4041583529838564,0.4164443366480718,42.05307830000038
120,-86.57171249389648,2.1448996663093567,0.6884485666104553,0.16812612457991072,0.5398305084745763,0.7104553119730186,0.5025194339832681,0.8012825561681507,0.9834586466165414,0.3926174496644295,0.40652173913043477,42.18701820000024
121,-86.66571617126465,2.0739084482192993,0.6913996627318718,0.171784012705135,0.55,0.722849915682968,0.5159243183349077,0.8190870232741952,0.9843045112781954,0.4228187919463087,0.43752114854739693,42.72254249999969
122,-86.7184066772461,2.042321339249611,0.6922428330522765,0.17310746426680784,0.5542372881355933,0.7295952782462057,0.5232617935869157,0.828853298792378,0.9840695488721805,0.4163011695906432,0.4409722222222222,42.921183700000256
123,-86.65242671966553,2.1276845782995224,0.6929173693086004,0.1726071391486926,0.55,0.7118887015177066,0.5041584250439212,0.7971604849365861,0.9834116541353384,0.39625183733463987,0.4305010893246187,42.75205459999961
124,-86.7613172531128,2.036745995283127,0.6940134907251265,0.17232533626635504,0.5457627118644068,0.7318718381112985,0.5258080273877481,0.8276361246160691,0.9829417293233083,0.38024661113833086,0.4131884057971015,42.47763480000049
125,-86.70363426208496,2.110920697450638,0.6956998313659359,0.17202773825088696,0.5398305084745763,0.7137436762225969,0.5061016526968277,0.7929917831128988,0.9839285714285715,0.41220746363061356,0.44139494501254095,42.36625749999985
126,-86.82452201843262,2.0051509141921997,0.7005902192242833,0.17863884332986496,0.5584745762711865,0.7354974704890387,0.5301351295678326,0.8268643702616447,0.9839755639097745,0.4136957813428402,0.4409693754521341,42.32990570000038
127,-86.77963733673096,2.0639900118112564,0.7006745362563238,0.17798755847931194,0.5550847457627118,0.7186340640809443,0.5115936222165169,0.7963695140124021,0.9843984962406015,0.4275635198891919,0.45131420303834097,42.7383678999995
